occupation,hisco,STATUS,PRODUCT,RELATION,id,comment,title_hisco,checking_needed,RANK,SECTOR,INDUSTRY,drop,engl_descr
strohhutarbeiter,79310,'Worker',,,5455,,"Hat Maker, General",0,,B,69,0,
"betriebsstätte für Sandsteinwaaren, feine",,,,,4739,,,,,B,7,0,
Korallenschmuckfabrikation,,,,,2993,,,,,B,7,0,
grabsteinfabrikant,82080,,,,1965,,Monument Carver-Setter,1,,B,7,0,
grabsteinfabrik,82080,Business,,,1965,,Monument Carver-Setter,1,,B,7,0,
grabdenkmalverfertiger,82080,,,,1965,,Monument Carver-Setter,1,,B,7,0,
grabsteinverfertigung,82080,Business,,,1965,,Monument Carver-Setter,1,,B,7,0,
granatbohrer,,,,,1967,,,,,B,7,0,
achatschleifer,,,,,19,,,,,B,7,0,
bimssandsteinverfertigung,,,,,504,,,,,B,7,0,
Syenitwaarenfabrikation,,,,,5509,,,,,B,7,0,
"betriebsstätte für Steine, künstliche",,,,,5312,,,,,B,7,0,
Gypswaarenfabrikation,,,,,2068,,,,,B,7,0,
Steinbohrer,,,,,5308,,,,,B,7,0,
achatbohrer,,,,,18,,,,,B,7,0,
Specksteinwaarenfabrikation,,,,,5133,,,,,B,7,0,
marmorwarenfabrikant,82000,,,,3538,,"Stone Cutter or Carver, Specialisation Unknown",0,,B,7,0,
marmorwarenfabrik,82000,Business,,,3538,,"Stone Cutter or Carver, Specialisation Unknown",0,,B,7,0,
marmorfabrik,82000,Business,,,3538,,"Stone Cutter or Carver, Specialisation Unknown",0,,B,7,0,
alabasterwarenverfertigung,,,,,63,,,,,B,7,0,
steinschleifer,82020,,,,5333,,Stone Cutter and Finisher,0,,B,7,0,
Granatschleifer,,,,,1968,,,,,B,7,0,
grabmalfabrikant,82080,,,,1965,,,,,B,7,0,
Schwemmsteinfabrikation,,,,,4993,,,,,B,7,0,
betriebsstätte für Schieferwaaren,,,,,4809,,,,,B,7,0,
marmorarbeiter,82000,,,,3533,,"Stone Cutter or Carver, Specialisation Unknown",0,,B,7,0,
serpentinwarenfabrikation,,,,,5070,,,,,B,7,0,
edelsteinschleifer,88030,,,,1052,,Gem Cutter and Polisher,0,,B,7,0,
perlmutterarbeiter,88030,,,,0,,Gem Cutter and Polisher,0,,B,7,0,
perlmutterwarenfabrik,88030,Business,,,0,,Gem Cutter and Polisher,0,,B,7,0,
Sandsteindrechsler,,,,,4736,,,,,B,7,0,
Halbedelsteinwaarenverfertigung,,,,,2107,,,,,B,7,0,
Granitwaarenverfertigung,,,,,1970,,,,,B,7,0,
Porphyrwaarenverfertigung,,,,,4289,,,,,B,7,0,
"betriebsstätte für Steinwaaren, feine",,,,,5337,,,,,B,7,0,
Kunststeinwaarenverfertigung,,,,,3161,,,,,B,7,0,
betriebsstätte für künstlichen marmor,,,,,3535,,,,,B,7,0,
inhaber eines spielwarengeschäfts,94900,"Owner, proprietor",,,5161,,"Other Production or Related Worker, Specialisation Unknown",0,,B,70,0,
holzgeschäft,81120,Business,,,2417,,Cabinetmaker,0,,B,70,0,
korkschnitzer,81945,,,,3000,coded as Korkkunstschnitzer,Wood Carver,1,,B,70,0,
spielwarengeschäft,94900,Business,,,5161,,"Other Production or Related Worker, Specialisation Unknown",0,,B,70,0,
holzfabrikant,81120,,,,2417,,Cabinetmaker,0,,B,70,0,
pfropfenfabrikant,94990,,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
pfropfenfabrik,94990,Business,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
pfropfenschneider,94990,,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
propfenfabrikant,94990,,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
propfenfabrik,94990,Business,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
propfenschneider,94990,,,,4203,,Other Production and Related Workers Not Elsewhere Classified,0,,B,70,0,
holzwarenfabrikant,81120,,,,2417,,Cabinetmaker,0,,B,70,0,
holzwarenfabrik,81120,Business,,,2417,,Cabinetmaker,0,,B,70,0,
holzstiftfabrik,81120,Business,,,2417,,Cabinetmaker,0,,B,70,0,
holzstiftmacher,81120,,,,2417,,Cabinetmaker,0,,B,70,0,
hutformenfabrikant,81940,,,,2482,coded as Hutformmacher,Wooden Model Maker,1,,B,70,0,
hutformfabrikant,81940,,,,2482,coded as Hutformmacher,Wooden Model Maker,1,,B,70,0,
elfenbeinschneider,94390,,,,1207,,Other Non-Metallic Mineral Product Makers,0,,B,70,0,
elfenbeinschnitzer,94390,,,,1207,,Other Non-Metallic Mineral Product Makers,0,,B,70,0,
dreher,83320,,,,1020,"assumed to refer to metalworking turners (not wood turners), BZ1882 code wrong",Lathe Setter-Operator,1,,B,70,0,
korkschneider,73290,,,,3001,,"Other Sawyer, Plywood Makers and Related Wood-Processing Workers",1,,B,70,0,
strohschneider,73290,,,,0,,"Other Sawyer, Plywood Makers and Related Wood-Processing Workers",1,,B,70,0,
holzbildhauer,81945,,,,2355,,Wood Carver,0,,B,70,0,
holzschnitzer,81945,,,,2404,,Wood Carver,0,,B,70,0,
holzschnitzkünstler,81945,,,,2404,,Wood Carver,0,,B,70,0,
elfenbeinwarenfabrikant,94390,,,,1205,assumed to refer to Elfenbeindrechsler,Other Non-Metallic Mineral Product Makers,0,,B,70,0,
horndrechsler,94390,,,,0,,Other Non-Metallic Mineral Product Makers,0,,B,70,0,
drechslerei,81230,Business,,,1019,"assumption: refers to wood turners, not non-wood turners",Wood Turner,0,,B,70,0,
korkenfabrikant,73290,,,,3002,,"Other Sawyer, Plywood Makers and Related Wood-Processing Workers",1,,B,70,0,
drechsler,81230,,,,1019,"assumption: refers to wood turners, not non-wood turners",Wood Turner,0,,B,70,0,
holzdrechsler,81230,,,,1019,,Wood Turner,0,,B,70,0,
inhaber eines holzgeschäfts,81120,"Owner, proprietor",,,2417,,Cabinetmaker,0,,B,70,0,
inhaber einer drechslerei,81230,"Owner, proprietor",,,1019,"assumption: refers to wood turners, not non-wood turners",Wood Turner,0,,B,70,0,
kunstdrechsler,81230,,,,3140,,Wood Turner,0,,B,70,0,
holzgalanteriewarenfabrikant,81990,,,,2370,,Other Cabinetmakers and Related Woodworkers,0,,B,70,0,
spielwarenfabrikant,94900,,,,5161,,"Other Production or Related Worker, Specialisation Unknown",0,,B,70,0,
spielwarenfabrik,94900,Business,,,5161,,"Other Production or Related Worker, Specialisation Unknown",0,,B,70,0,
schirmarbeiter,79930,'Worker',,,4840,,Umbrella Maker,0,,B,71,0,
borstenfabrikant,94230,,,,608,coded as Borstenzurichter,Brush Maker (Hand),0,,B,71,0,
schirmgeschäft,79930,Business,,,4840,,Umbrella Maker,0,,B,71,0,
bürstenfabrikant,94230,,,,726,,Brush Maker (Hand),0,,B,71,0,
bürstenfabrik,94230,Business,,,726,,Brush Maker (Hand),0,,B,71,0,
zahnbürstenfabrikant,94230,,,,0,,Brush Maker (Hand),0,,B,71,0,
zahnbürstenmacher,94230,,,,0,,Brush Maker (Hand),0,,B,71,0,
schirmmacher,79930,,,,4840,,Umbrella Maker,0,,B,71,0,
kammmacher,94990,,,,2643,,Other Production and Related Workers Not Elsewhere Classified,0,,B,71,0,
kammfabrikant,94990,,,,2670,,Other Production and Related Workers Not Elsewhere Classified,0,,B,71,0,
kammfabrik,94990,Business,,,2670,,Other Production and Related Workers Not Elsewhere Classified,0,,B,71,0,
inhaber eines schirmgeschäfts,79930,"Owner, proprietor",,,4840,,Umbrella Maker,0,,B,71,0,
pinselfabrikant,94230,,,,4234,,Brush Maker (Hand),0,,B,71,0,
pinselfabrik,94230,Business,,,4234,,Brush Maker (Hand),0,,B,71,0,
bürstenmacher,94230,,,,726,,Brush Maker (Hand),0,,B,71,0,
bürstenbinder,94230,,,,723,,Brush Maker (Hand),0,,B,71,0,
zollstockverfertigung,81990,Business,,,0,,Other Cabinetmakers and Related Woodworkers,0,,B,71,0,
schirmstockfabrikant,81990,,,,5407,,Other Cabinetmakers and Related Woodworkers,0,,B,71,0,
schirmfabrikant,79930,,,,4840,,Umbrella Maker,0,,B,71,0,
schirmfabrik,79930,Business,,,4840,,Umbrella Maker,0,,B,71,0,
stockfabrikant,81990,,,,5407,,Other Cabinetmakers and Related Woodworkers,0,,B,71,0,
bronzeur,93920,,,,679,,Brush-Painter (except Construction),0,,B,72,0,
goldleistenfabrikant,93920,,,,1932,,Brush-Painter (except Construction),0,,B,72,0,
goldleistenfabrik,93920,Business,,,1932,,Brush-Painter (except Construction),0,,B,72,0,
rahmenfabrikant,81990,,,,4473,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
spiegelrahmenfabrikant,81990,,,,5148,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
polierer,81955,,,,4265,,Wooden Furniture Finisher,1,,B,72,0,
polieranstalt,81955,Business,,,4265,,Wooden Furniture Finisher,1,,B,72,0,
lackierer,93990,,,,3201,,Other Painters,1,,B,72,0,
blechlackierer,93990,,,,0,,Other Painters,1,,B,72,0,
vergolder,93920,,,,5840,,Brush-Painter (except Construction),0,,B,72,0,
photographierahmenfabrikant,81990,,,,485,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
photographierahmenfabrik,81990,Business,,,485,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
lackierwarenfabrikant,93920,,,,3201,,Brush-Painter (except Construction),0,,B,72,0,
lackierwarenfabrik,93920,Business,,,3201,,Brush-Painter (except Construction),0,,B,72,0,
lackierfabrik,93920,Business,,,3201,,Brush-Painter (except Construction),0,,B,72,0,
lackierfabrikant,93920,,,,3201,,Brush-Painter (except Construction),0,,B,72,0,
altertümerreparateur,,,,,77,,,,,B,72,0,
goldrahmenfabrikant,81990,,,,4473,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
goldrahmenfabrik,81990,Business,,,4473,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
altarbauer,,,,,75,,,,,B,72,0,
bilderrahmenfabrikant,81990,,,,485,,Other Cabinetmakers and Related Woodworkers,0,,B,72,0,
möbelpolierer,81955,,,,3735,,Wooden Furniture Finisher,0,,B,72,0,
mühlenmeister,77120,Master,,,3778,,Grain Miller,0,,B,73,1,master grain miller
inhaber einer mühle,77120,"Owner, proprietor",,,3778,,Grain Miller,1,,B,73,0,
mühleninhaber,77120,"Owner, proprietor",,,3778,,Grain Miller,1,,B,73,0,
mühlenbesitzer,77120,"Owner, proprietor",,,3778,,Grain Miller,1,,B,73,0,
inhaber einer dampfmahlmühle,77120,"Owner, proprietor",,,903,,Grain Miller,1,,B,73,0,
inhaber einer dampfmühle,77120,"Owner, proprietor",,,903,,Grain Miller,1,,B,73,0,
dampfmühlenbesitzer,77120,"Owner, proprietor",,,903,,Grain Miller,1,,B,73,0,
dampfmahlmühle,77120,Business,,,903,,Grain Miller,1,,B,73,0,
mühle,77120,Business,,,3778,,Grain Miller,1,,B,73,0,
müller,77120,,,,3778,,Grain Miller,0,,B,73,0,
obermüller,77120,Principal,,,3778,,Grain Miller,0,,B,73,0,
dampfmühle,77120,Business,,,903,,Grain Miller,1,,B,73,0,
konfiseur,77660,,,,2958,,Confectionery Maker,0,,B,74,0,
bäcker,77610,,,,262,,"Baker, General",0,,B,74,0,
inhaber eines konfitürengeschäfts,77690,"Owner, proprietor",,,0,,"Other Bakers, Pastry Cooks and Confectionery Makers",0,,B,74,0,
biscuitsfabrikant,77630,,,,510,,Pastry Maker,0,,B,74,0,
pfefferküchler,77630,,,,4176,,Pastry Maker,0,,B,74,0,
konfitürengeschäft,77690,Business,,,0,,"Other Bakers, Pastry Cooks and Confectionery Makers",0,,B,74,0,
bonbonfabrikant,77660,,,,591,,Confectionery Maker,0,,B,74,0,
bonbonfabrik,77660,Business,,,591,,Confectionery Maker,0,,B,74,0,
bäckermeister,77610,Master,,,262,"also exist as a military occupation, here coded as civilian master baker","Baker, General",0,,B,74,0,
nautenfabrik,77630,Business,,,0,,Pastry Maker,0,,B,74,0,
zuckerwarenfabrikant,77630,,,,6328,,Pastry Maker,0,,B,74,0,
zuckerwarenfabrik,77630,Business,,,6328,,Pastry Maker,0,,B,74,0,
kuchenbäcker,77630,,,,3106,coded as Kuchenbäcker,Pastry Maker,0,,B,74,0,
konfekteur,77630,,,,0,coded as Kuchenbäcker,Pastry Maker,0,,B,74,0,
honigkuchenfabrikant,77630,,,,3106,coded as Kuchenbäcker,Pastry Maker,0,,B,74,0,
bäckerei,77610,Business,,,262,,"Baker, General",0,,B,74,0,
inhaber einer konditorei,77630,"Owner, proprietor",,,2954,,Pastry Maker,0,,B,74,0,
konfitürenfabrikant,77690,,,,0,,"Other Bakers, Pastry Cooks and Confectionery Makers",0,,B,74,0,
inhaber einer bäckerei,77610,"Owner, proprietor",,,262,,"Baker, General",0,,B,74,0,
bäckereibesitzer,77610,"Owner, proprietor",,,262,,"Baker, General",0,,B,74,0,
konditorei,77630,Business,,,2954,,Pastry Maker,0,,B,74,0,
konditor,77630,,,,2954,,Pastry Maker,0,,B,74,0,
zuckerfabrikant,77200,,,,6327,,"Sugar Processor or Refiner, Specialisation Unknown",0,,B,75,0,
zuckersieder,77200,,,,6327,,"Sugar Processor or Refiner, Specialisation Unknown",0,,B,75,0,
zuckersiederei,77200,Business,,,6327,,"Sugar Processor or Refiner, Specialisation Unknown",0,,B,75,0,
zuckersiedemeister,77200,Master,,,6327,,"Sugar Processor or Refiner, Specialisation Unknown",0,,B,75,0,
kaffeefabrikant,77750,,,,2615,,Coffee Roaster,0,,B,76,0,
dampfkaffeebrennerei,77750,Business,,,2615,,Coffee Roaster,0,,B,76,0,
kaffeebrennereibesitzer,77750,"Owner, proprietor",,,2615,,Coffee Roaster,0,,B,76,0,
mostrichfabrikant,77990,,,,3761,,Other Food and Beverage Processors,0,,B,76,0,
mostrichfabrik,77990,Business,,,3761,,Other Food and Beverage Processors,0,,B,76,0,
cichorienfabrikant,77790,,,,836,,"Other Tea, Coffee and Cocoa Preparers",0,,B,76,0,
cichorienfabrik,77790,Business,,,836,,"Other Tea, Coffee and Cocoa Preparers",0,,B,76,0,
schokoladenfabrikant,77650,,,,820,,Chocolate Maker,0,,B,76,0,
schokoladenfabrik,77650,Business,,,820,,Chocolate Maker,0,,B,76,0,
kaffebrenner,77750,,,,2615,,Coffee Roaster,0,,B,76,0,
schlächterei,77310,Business,,,4847,,"Butcher, General",0,,B,77,0,
wurstfabrikant,77340,,,,6208,,Sausage Maker,0,,B,77,0,
wurstfabrik,77340,Business,,,6208,,Sausage Maker,0,,B,77,0,
hausschlächter,77310,,,,2221,,"Butcher, General",0,,B,77,0,
schlächter,77310,,,,4847,,"Butcher, General",0,,B,77,0,
schlächtermeister,77310,Master,,,4847,,"Butcher, General",0,,B,77,0,
inhaber einer schlächterei,77310,"Owner, proprietor",,,4847,,"Butcher, General",0,,B,77,0,
inhaber einer roßschlächterei,77310,"Owner, proprietor",,,4663,,"Butcher, General",0,,B,77,0,
großschlächter,77310,,,,4847,,"Butcher, General",0,,B,77,0,
schächter,77310,,,,4760,,"Butcher, General",0,,B,77,0,
fleischer,77320,,,,1487,,Slaughterer,0,,B,77,0,
roßschlächter,77310,,,,4663,,"Butcher, General",0,,B,77,0,
roßschlächterei,77310,Business,,,4663,,"Butcher, General",0,,B,77,0,
fleischwarenfabrikant,77340,,,,1494,,Sausage Maker,1,,B,77,0,
fleischwarenfabrik,77340,Business,,,1494,,Sausage Maker,1,,B,77,0,
butterfabrikant,77530,,,,752,,Butter Maker,0,,B,78,0,
käsefabrikant,77540,,,,2608,,Cheese Maker,0,,B,78,0,
speiseeisfabrik,77550,,,,0,,Ice-Cream Maker,0,,B,78,0,
buttergeschäft,77530,Business,,,752,,Butter Maker,0,,B,78,0,
inhaber eines buttergeschäfts,77530,"Owner, proprietor",,,752,,Butter Maker,0,,B,78,0,
mineralwasserfabrikant,77890,,,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
mineralwasserfabrik,77890,Business,,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
mineralwasseranstalt,77890,Business,,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
mineralwasseranstaltbesitzer,77890,"Owner, proprietor",,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
wasserfabrikant,77890,,,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
eiswerk,74990,Business,,,1195,,Other Chemical Processors and Related Workers,1,,B,79,0,
eiswerkbesitzer,74990,"Owner, proprietor",,,1195,,Other Chemical Processors and Related Workers,1,,B,79,0,
anstalt für künstliche mineralwasser,77890,Business,,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
inhaber einer anstalt für künstliche mineralwasser,77890,"Owner, proprietor",,,3704,,"Other Brewers, Wine and Beverage Makers",0,,B,79,0,
eisfabrikant,77550,,,,1195,http://www.zeno.org/Lueger-1904/A/Eisfabrikation?hl=eisfabrikation,Ice-Cream Maker,1,,B,79,0,
eisfabrikation,77550,Business,,,1195,,Ice-Cream Maker,1,,B,79,0,
inhaber eines eiswerks,74990,"Owner, proprietor",,,1195,,Other Chemical Processors and Related Workers,1,,B,79,0,
betriebsstätte für farberden,,,,,1306,,,,,B,8,0,
zementsteinwarenfabrikant,,,,,781,,,,,B,8,0,
kunstkornfabrikant,,,,,3149,,,,,B,8,0,
Ockergruben,,,,,3965,,,,,B,8,0,
gipsbruch,,Business,,,2059,,,,,B,8,0,
terrazzowarenfabrikant,,,,,5613,,,,,B,8,0,
zementgräber,,,,,777,,,,,B,8,0,
betriebsstätte für strontianit,,,,,5470,,,,,B,8,0,
Gypsmüller,,,,,2067,,,,,B,8,0,
Schwerspathgrube,,,,,4996,,,,,B,8,0,
kalkbrenner,74240,,,,2626,,Drier Operator (Chemical and Related Processes),0,,B,8,0,
ziegelmehrfabrikant,,,,,6269,,,,,B,8,0,
traßfabrikant,,,,,5720,,,,,B,8,0,
zementfabrikation,,,,,776,,,,,B,8,0,
gipsbrenner,,,,,2058,,,,,B,8,0,
schlemmkreidefabrikant,,,,,4858,,,,,B,8,0,
betriebsstätte für infusorienerde,,,,,2529,,,,,B,8,0,
Schwerpathmühle,,,,,4997,,,,,B,8,0,
betriebsstätte für phosphorit,,,,,4210,,,,,B,8,0,
mörtelfabrikant,,,,,3743,,,,,B,8,0,
gipsfabrikant,94990,,,,2061,,Other Production and Related Workers Not Elsewhere Classified,0,,B,8,0,
gipsfabrik,94990,Business,,,2061,,Other Production and Related Workers Not Elsewhere Classified,0,,B,8,0,
Sandschöpfer,,,,,4735,,,,,B,8,0,
zementgußfabrikation,,,,,778,,,,,B,8,0,
kalkbrennerei,74240,Business,,,2626,,Drier Operator (Chemical and Related Processes),0,,B,8,0,
betriebsstätte für magnesit,,,,,3485,,,,,B,8,0,
zementarbeiter,,,,,775,,,,,B,8,0,
Baggerei von Kies und Sand,,,,,271,,,,,B,8,0,
Ockerschlämmereien,,,,,3966,,,,,B,8,0,
kalkbruch,,,,,2627,,,,,B,8,0,
inhaber einer kalkbrennerei,74240,"Owner, proprietor",,,2626,,Drier Operator (Chemical and Related Processes),0,,B,8,0,
kalkbrennereibesitzer,74240,"Owner, proprietor",,,2626,,Drier Operator (Chemical and Related Processes),0,,B,8,0,
annalinfabrikation,,,,,129,,,,,B,8,0,
Sandsteinstampfer,,,,,4738,,,,,B,8,0,
sandgrube,,,,,4733,,,,,B,8,0,
kreidebruch,,,,,3058,,,,,B,8,0,
schmirgelfabrikant,,,,,4878,,,,,B,8,0,
traßgrube,,,,,5721,,,,,B,8,0,
traßmüller,,,,,5722,,,,,B,8,0,
kiesgrube,,,,,2795,,,,,B,8,0,
brauer,77810,,,,629,,"Brewer, General",0,,B,80,0,
kesselbrauer,77810,,,,629,,"Brewer, General",0,,B,80,0,
kesselmeister,77810,Master,,,629,,"Brewer, General",0,,B,80,0,
brauführer,77810,Principal,,,629,assumed to refer to a master brewer,"Brewer, General",0,,B,80,0,
weißbierbrauerei,77810,Business,,,629,,"Brewer, General",0,,B,80,0,
bierbrauer,77810,,,,629,,"Brewer, General",0,,B,80,0,
brauerei,77810,Business,,,629,,"Brewer, General",0,,B,80,0,
malzmeister,77820,Master,,,3468,assumed to refer to a master Mälzer,Germination Worker (Malting),0,,B,80,0,
oberbrauer,77810,Principal,,,629,,"Brewer, General",0,,B,80,0,
braumeister,77810,Master,,,629,,"Brewer, General",0,,B,80,0,
inhaber einer weißbierbrauerei,77810,"Owner, proprietor",,,629,,"Brewer, General",0,,B,80,0,
obermälzer,77820,,,,3468,,Germination Worker (Malting),0,,B,80,0,
inhaber einer brauerei,77810,"Owner, proprietor",,,629,,"Brewer, General",0,,B,80,0,
brauereipächter,77810,"Lease-holder, share-cropper",,,629,,"Brewer, General",0,,B,80,0,
braueigner,77810,"Owner, proprietor",,,629,,"Brewer, General",0,,B,80,0,
brauereibesitzer,77810,"Owner, proprietor",,,629,,"Brewer, General",0,,B,80,0,
essenzenfabrikant,77890,,,,1251,,"Other Brewers, Wine and Beverage Makers",0,,B,81,0,
malzextraktfabrik,77890,Business,,,0,,"Other Brewers, Wine and Beverage Makers",0,,B,80,,
zymotechniker,77890,,,,0,,"Other Brewers, Wine and Beverage Makers",0,,B,81,0,
bärmefabrikant,77840,,,,268,,Yeast Maker,0,,B,81,0,
pfundbärmfabrik,77840,Business,,,268,,Yeast Maker,0,,B,81,0,
hefenfabrikant,77840,,,,2238,,Yeast Maker,0,,B,81,0,
spritfabrikant,74490,,,,5186,,Other Still and Reactor Operators,1,,B,81,0,
spritfabrik,74490,Business,,,5186,,Other Still and Reactor Operators,1,,B,81,0,
rumfabrik,74490,Business,,,3406,,Other Still and Reactor Operators,1,,B,81,0,
rumfabrikant,74490,,,,3406,,Other Still and Reactor Operators,1,,B,81,0,
destillation,74400,Business,,,937,,"Still or Reactor Operator, Specialisation Unknown",1,,B,81,0,
destillateur,74400,,,,937,,"Still or Reactor Operator, Specialisation Unknown",1,,B,81,0,
liqueurfabrikant,74490,,,,3406,,Other Still and Reactor Operators,1,,B,81,0,
liqueurfabrik,74490,Business,,,3406,,Other Still and Reactor Operators,1,,B,81,0,
inhaber einer destillation,74400,"Owner, proprietor",,,937,,"Still or Reactor Operator, Specialisation Unknown",1,,B,81,0,
essigbrauer,77870,,,,1252,coded as Essigfabrikant,Vinegar Maker,0,,B,83,0,
essigfabrikant,77870,,,,1252,,Vinegar Maker,0,,B,83,0,
zigarrenmacher,78200,,,,844,,"Cigar Maker, Specialisation Unknown",0,,B,84,0,
zigarettenmacher,78330,,,,847,,Cigarette Maker (Machine),0,,B,84,0,
zigarrenfabrikant,78200,,,,842,,"Cigar Maker, Specialisation Unknown",0,,B,84,0,
zigarrenfabrik,78200,Business,,,842,,"Cigar Maker, Specialisation Unknown",0,,B,84,0,
tabakschneider,78170,,,,0,,Tobacco Cutting Machine-Operator,0,,B,84,0,
tabakmeister,78190,Master,,,0,,Other Tobacco Preparers,0,,B,84,0,
tabakarbeiter,78190,'Worker',,,0,,Other Tobacco Preparers,0,,B,84,0,
tabakspinner,78190,,,,5520,,Other Tobacco Preparers,0,,B,84,0,
tabakschneiderei,78170,Business,,,0,,Tobacco Cutting Machine-Operator,0,,B,84,0,
inhaber einer tabakschneiderei,78170,"Owner, proprietor",,,0,,Tobacco Cutting Machine-Operator,0,,B,84,0,
zigarrensortierer,78290,,,,0,,Other Cigar Makers,0,,B,84,0,
zigarrenarbeiter,78200,,,,844,,"Cigar Maker, Specialisation Unknown",0,,B,84,0,
tabakfabrikant,78100,,,,5515,,"Tobacco Preparers, Specialisation Unknown",0,,B,84,0,
tabakfabrik,78100,Business,,,5515,,"Tobacco Preparers, Specialisation Unknown",0,,B,84,0,
tabakgeschäft,78100,Business,,,5515,,"Tobacco Preparers, Specialisation Unknown",0,,B,84,0,
inhaber eines zigarrengeschäfts,41030,"Owner, proprietor",1,,842,,Working Proprietor (Retail Trade),0,,B,84,0,
zigarettenfabrikant,78330,,,,847,,Cigarette Maker (Machine),0,,B,84,0,
zigarrengeschäft,41030,Business,1,,842,,Working Proprietor (Retail Trade),0,,B,84,0,
zigarrenkommandite,41030,Business,1,,842,,Working Proprietor (Retail Trade),0,,B,84,0,
ausnäherin,,,,,234,,,,,B,85,0,
näher,79510,,,,3834,,"Hand and Machine Sewer, General",0,,B,85,0,
ausbesserin,79190,,,,224,,Other Tailors and Dressmakers,0,,B,85,0,
steppanstalt,79500,Business,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
steppanstaltsbesitzer,79500,"Owner, proprietor",,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
maschinensteppanstalt,79500,Business,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
maschinenstepperei,79500,Business,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
ausbesserer,79190,,,,224,,Other Tailors and Dressmakers,0,,B,85,0,
maschinennäher,79550,,,,3834,coded as Näher,Sewing-Machine Operator,0,,B,85,0,
wäschenäher,79510,,,,3834,,"Hand and Machine Sewer, General",0,,B,85,0,
wäschenähanstalt,79510,Business,,,3834,,"Hand and Machine Sewer, General",0,,B,85,0,
nähanstalt,79510,Business,,,3834,,"Hand and Machine Sewer, General",0,,B,85,0,
weißnäher,79510,,,,,,"Hand and Machine Sewer, General",0,,B,85,0,
inhaber einer steppanstalt,79500,"Owner, proprietor",,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
steppanstaltbesitzer,79500,"Owner, proprietor",,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
stepper,79500,,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
deckenstepper,79500,,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
zierstepper,79500,,,,5352,,"Sewer or Embroiderer, Specialisation Unknown",0,,B,85,0,
maschinenstepper,79550,,,,5352,,Sewing-Machine Operator,0,,B,85,0,
schneider für herren,79100,,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
schneider für damen,79100,,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
schneider,79100,,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
herrenschneider,79100,,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
damenschneider,79100,,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
schneiderartikelgeschäft,79100,Business,1,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
inhaber eines schneiderartikelgeschäfts,79100,"Owner, proprietor",1,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
kunststopfer,75475,,,,3162,,Fabrics Repairer,0,,B,86,0,
manchesterschneider,79100,,,,0,,"Tailor, Specialisation Unknown",0,,B,86,,
kleidermacher,79140,,,,892,coded as Damenkleidermacher,Dressmaker,0,,B,86,0,
billardbezieher,75475,,,,0,,Fabrics Repairer,0,,B,86,0,
billardstopfer,75475,,,,493,http://www.zeno.org/Brockhaus-1911/A/T%C3%BCll?hl=tull,Fabrics Repairer,0,,B,86,0,
schneiderwerkstatt,79100,Business,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
schneidermeister,79100,Master,,,4887,,"Tailor, Specialisation Unknown",0,,B,86,0,
deckenfabrikant,79190,,,,430,,Other Tailors and Dressmakers,0,,B,87,0,
tischdeckenfabrik,79190,Business,,,430,,Other Tailors and Dressmakers,0,,B,87,0,
herrenkonfektion,79130,Business,,,2957,,"Tailor, Ready-to-Wear Garments",0,,B,87,0,
wäschegeschäft,79140,Business,,,5962,,Dressmaker,0,,B,87,0,
